key,creation-moment,title,author,body,email
1,2022/05/12,Can't Buy Me Love,dtabord0,Pull-thru res rectum NOS,fcapoun0@google.ru
2,2022/05/11,McHale's Navy,hdavenall1,Orbitotomy w bone flap,dmordacai1@blog.com
3,2022/05/30,Between Heaven and Hell,dorange2,Spine tract w skull dev,tvaller2@dagondesign.com
4,2022/04/13,"Normal Heart, The",rcitrine3,Reimplant pancreatic tis,etabert3@bloglovin.com
5,2022/03/12,Goyokin,ssobieski4,Goniotomy w goniopunctur,solner4@arizona.edu
6,2022/03/31,John Dies at the End,sbelverstone5,Ovarian operation NEC,dfalls5@flickr.com
7,2022/03/15,Angels in America,bbenley6,Retropubic ureth suspens,hnye6@prweb.com
8,2022/04/22,Chasing Liberty,mdanilovich7,Remov intralum esoph FB,eeverson7@buzzfeed.com
9,2022/06/10,"Thick as Thieves (a.k.a. Code, The)",hkettoe8,Plast op hand w grft NEC,sbricket8@arstechnica.com
10,2022/04/01,Half Past Dead,cpoltone9,Diathermy,pbransby9@g.co
11,2022/04/27,"Flame of New Orleans, The",hcotsforda,Replace nasal packing,klacka@disqus.com
12,2022/05/03,Deep Impact,tgimsonb,Ovarian denervation,vmcgovernb@seesaa.net
13,2022/04/12,Pineapple Express,sthorpc,Suture kidney laceration,fserraillierc@clickbank.net
14,2022/03/08,Night of the Demons 2,daveralld,Instrument delivery NEC,fateggartd@simplemachines.org
15,2022/03/31,"Silent Night, Deadly Night Part 2",whulke,Total unilat salpingect,dmaletratte@blogger.com
16,2022/05/26,"Show, The",abottenf,Excision hand joint NEC,rteaserf@ihg.com
17,2022/05/09,There's Always A Woman,fboowg,Allo hem stem ct w purg,ccantg@archive.org
18,2022/04/04,Lord Jim,atolemanh,Scrotum & tunica op NEC,wwoolwayh@sciencedirect.com
19,2022/04/27,Ranma ½: Nihao My Concubine (Ranma ½: Kessen Tôgenkyô! Hanayome o torimodose!!),ccayettei,Fasciotomy of hand,adanelli@canalblog.com
20,2022/05/25,Wend Kuuni (a.k.a. God's Gift),fskerrittj,Retroperiton pneumogram,asimakovj@g.co
21,2022/06/03,A Pigeon Sat on a Branch Reflecting on Existence,fhamblink,Remov trunk packing NEC,abehneckek@umn.edu
22,2022/03/15,"Map For Saturday, A",fgaskinsl,Augmentation genioplasty,aadamczykl@bravesites.com
23,2022/04/01,Sabrina,dchimentim,Bicycle ergometer test,hmoyesm@wix.com
24,2022/04/24,Miss Météo,rwartnabyn,Decortication of lung,lpasquen@boston.com
25,2022/06/19,Rocky IV,jbalaamo,Other femoral incision,ablakelocko@de.vu
